headline,url,timestamp,tags,summary,ticker_symbols
Here's Discover's 5% cash-back calendar for 2024,https://www.cnbc.com/select/discover-cash-back-calendar/,2024-04-10T19:33:43+0000,"['selectcards', 'selectmonetized', 'personal finance', 'consumer spending', 'credit card services', 'approved for apple', 'select credit cards', 'apple inc', 'garmin ltd', 'discover financial services', 'walmart inc', 'citi trends inc']","('Here are the bonus 5% cash-back categories for eligible Discover credit cards in 2024.',)","['AAPL', 'GRMN', 'DFS', 'WMT', 'CTRN']"
Parents plan to spend over $890 on back-to-school shopping—here are the best credit cards to save,https://www.cnbc.com/select/best-credit-cards-for-back-to-school-shopping/,2024-04-10T15:52:00+0000,"['select credit cards', 'selectcards', 'personal finance', 'consumer spending', 'credit card services', 'selectmonetized', 'approved for apple', 'apple inc', 'american express co', 'visa inc', 'united states', 'education', 'entertainment']","('Select analyzed a variety of credit cards that can help you optimize back-to-school shopping for electronics, supplies, clothing, groceries and more.',)","['AAPL', 'AXP', 'V']"
Jim Cramer's top 10 things to watch in the stock market Tuesday,https://www.cnbc.com/2024/04/09/jim-cramers-top-10-things-to-watch-in-the-stock-market-tuesday.html,2024-04-10T15:36:00+0000,"['goldman sachs bdc inc', 'goldman sachs group inc', 'apple inc', 'wells fargo co', 'constellation brands inc', 'ulta beauty inc', 'estee lauder companies inc', 'elf beauty inc', 'us steel drn', 'netflix inc', 'tesla inc', 'clevelandcliffs inc', 'broadcom inc', 'meta platforms inc', 'alphabet inc', 'arm holdings plc', 'amazoncom inc', 'microsoft corp', 'molson coors beverage co', 'breaking news markets', 'markets', 'investment strategy', 'jim cramer', 'investingclubsample']","(""Wall Street looks pretty non-committal for a second straight session as investors look ahead to this week's two inflation reports."",)","['GSBD', 'GS', 'AAPL', 'WFC', 'STZ', 'ULTA', 'EL', 'ELF', 'X', 'NFLX', 'TSLA', 'CLF', 'AVGO', 'META', 'GOOGL', 'ARM', 'AMZN', 'MSFT', 'TAP']"
Apple doubles India iPhone production to $14 billion as it shifts from China: Report,https://www.cnbc.com/2024/04/10/apple-made-14-billion-worth-of-iphones-in-india-in-shift-from-china.html,2024-04-10T14:08:04+0000,"['breaking news technology', 'technology', 'internet', 'enterprise', 'apple inc', 'india', 'tim cook', 'tim cook']","('Apple produced $14 billion worth of iPhones in India over the last fiscal year',)",['AAPL']
TSMC posts fastest monthly revenue growth since 2022 on AI chip boom,https://www.cnbc.com/2024/04/10/tsmc-posts-fastest-monthly-revenue-growth-since-2022-on-ai-chip-boom.html,2024-04-10T13:26:46+0000,"['artificial intelligence', 'semiconductor device manufacturing', 'technology', 'intel corp', 'advanced micro devices inc', 'taiwan semiconductor manufacturing co ltd', 'nvidia corp', 'apple inc']","('TSMC posted a surge in revenue in March as it cashes in on a continuing artificial intelligence boom powered by high-end chips.',)","['INTC', 'AMD', '2330-TW', 'NVDA', 'AAPL']"
How to check the status of your tax refund,https://www.cnbc.com/select/how-to-check-the-status-of-your-tax-refund/,2024-04-10T10:00:01+0000,"['consumer spending', 'selectadvice', 'approved for apple', 'personal finance', 'selectmonetized', 'select tax', 'apple inc', 'social issues', 'amazoncom inc']","('Still waiting for your tax refund? The IRS has tools to help you track its status.',)","['AAPL', 'AMZN']"
CEO explains why E.l.f Beauty launched an app for Apple's Vision Pro,https://www.cnbc.com/2024/04/09/ceo-explains-why-elf-beauty-launched-an-app-for-apples-vision-pro.html,2024-04-09T23:16:45+0000,"['elf beauty inc', 'ceo', 'markets', 'business', 'investment strategy', 'stock markets', 'jim cramer', 'jim cramer', 'apple inc', 'ulta beauty inc', 'target corp', 'walmart inc', 'jpmorgan drn', 'estee lauder companies inc', 'coty inc']","(""E.l.f Beauty CEO Tarang Amin told CNBC's Jim Cramer it's important that his company try new things."",)","['ELF', 'AAPL', 'ULTA', 'TGT', 'WMT', 'JPM', 'EL', 'COTY']"
"Google's Arm-based chip is a 'flexing the muscles' moment, says Wedbush's Dan Ives",https://www.cnbc.com/video/2024/04/09/googles-arm-based-chip-is-a-flexing-the-muscles-moment-says-wedbushs-dan-ives.html,2024-04-09T21:24:00+0000,"['apple inc', 'alphabet inc', 'arm holdings plc', 'neutral']","(""Dan Ives, Wedbush Sr. Equity Research Analyst, joins 'Closing Bell Overtime' to discuss Google's new Arm-based chip, Alphabet hitting record highs, Apple's recent performance and more."",)","['AAPL', 'GOOGL', 'ARM']"
What all the cool kids want. How 6 portfolio stocks fared in Piper Sandler's new teen survey,https://www.cnbc.com/2024/04/09/how-6-club-stocks-including-meta-and-apple-fared-in-piper-sandler-teen-survey.html,2024-04-09T19:45:05+0000,"['elf beauty inc', 'stock takes', 'jim cramer', 'investment strategy', 'markets', 'breaking news markets', 'on holding ag', 'piper jaffray companies', 'deckers outdoor corp', 'meta platforms inc', 'snap inc', 'amazoncom inc', 'apple inc', 'starbucks corp', 'estee lauder companies inc', 'nike inc', 'foot locker inc', 'dicks sporting goods inc', 'breaking news technology', 'technology', 'breaking news business', 'retail industry', 'social media', 'restaurants', 'beverages', 'sports', 'apparel retail']","('Piper Sandler has released the spring edition of its semiannual ""Taking Stock With Teens Survey,"" with solid results for several names in our portfolio.',)","['ELF', 'ONON', 'PJC', 'DECK', 'META', 'SNAP', 'AMZN', 'AAPL', 'SBUX', 'EL', 'NKE', 'FL', 'DKS']"
Alphabet's cloud event could justify the stock's recent records and further upside,https://www.cnbc.com/2024/04/09/alphabet-next-cloud-event-tuesday-could-justify-further-stock-upside.html,2024-04-09T13:40:37+0000,"['technology', 'breaking news technology', 'palo alto', 'ford motor co', 'palo alto networks inc', 'nvidia corp', 'meta platforms inc', 'apple inc', 'amazoncom inc', 'microsoft corp', 'alphabet inc', 'breaking news markets', 'markets', 'investment strategy', 'jim cramer', 'stock takes']","(""Shares of Alphabet are on the verge of a possible breakout ahead of the company's three-day Google Cloud Next conference."",)","['F', 'PANW', 'NVDA', 'META', 'AAPL', 'AMZN', 'MSFT', 'GOOGL']"
